Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/amber-forest-love-child-necklace-33cm-by-amber-love/?fullSite=1,/amber-forest-love-child-necklace-33cm-by-amber-love/,,
www.buyorganicsonline.com.au,/amber-earth-love-33cm-by-amber-love/?fullSite=1,/amber-earth-love-33cm-by-amber-love/,,
www.buyorganicsonline.com.au,/love-adults-bracelet-by-amber/?fullSite=1,/love-adults-bracelet-by-amber/,,
www.buyorganicsonline.com.au,/dr-organic-vitamin-e-conditioner-265ml/?fullSite=1,/dr-organic-vitamin-e-conditioner-265ml/,,
www.buyorganicsonline.com.au,/eucoclean/?fullSite=1&page=2,/eucoclean/,,
www.buyorganicsonline.com.au,/tahini-unhulled-organic-385g-mayvers-on-sale-bb-14-02-25/,/tahini-unhulled-organic-385g-mayvers/,,
www.buyorganicsonline.com.au,/power-super-foods-red-maca-powder-certified-organic-250g-on-sale-bb-10-04-27/,/power-super-foods-red-maca-powder-certified-organic-250g/,,
www.buyorganicsonline.com.au,/lotus-spelt-flakes-rolled-organic-250g-on-sale-bb-24-02-25/,/lotus-spelt-flakes-rolled-organic-250g/,,
www.buyorganicsonline.com.au,/udos-choice-udos-3-6-9-oil-blend-941ml-on-sale-bb-14-04-23/,/udos-choice-udos-3-6-9-oil-blend-941ml/,,
www.buyorganicsonline.com.au,/hilde-hemmes-herbals-bloat-rid-x-30-tea-bags-on-sale-bb-30-07-25/,/hilde-hemmes-herbals-bloat-rid-x-30-tea-bags/,,
www.buyorganicsonline.com.au,/2die4-live-foods-activated-pepitas-250g-on-sale-bb-01-12-24/,/2die4-live-foods-activated-pepitas-250g/,,
www.buyorganicsonline.com.au,/lotus-buckwheat-flour-organic-1kg-on-sale-bb-15-08-24/,/lotus-buckwheat-flour-organic-1kg/,,
www.buyorganicsonline.com.au,/luvin-life-epsom-salts-magnesium-sulphate-750g-on-sale-bb-30-11-24/,/luvin-life-epsom-salts-magnesium-sulphate-750g/,,
www.buyorganicsonline.com.au,/celestial-tea-bengal-spice-x-20-tea-bags-x-6-on-sale-bb-25-09-25/,/celestial-tea-bengal-spice-x-20-tea-bags-x-6/,,
www.buyorganicsonline.com.au,/thankfully-nourished-gelatin-bag-20-serves-125g-on-sale-bb-16-04-25/,/thankfully-nourished-gelatin-bag-20-serves-125g/,,
www.buyorganicsonline.com.au,/lotus-psyllium-husk-organic-200g-on-sale-bb-04-11-24/,/lotus-psyllium-husk-organic-200g/,,
www.buyorganicsonline.com.au,/spiral-tamari-sauce-organic-250ml-on-sale-bb-04-12-24/,/spiral-tamari-sauce-organic-250ml/,,
www.buyorganicsonline.com.au,/spiral-tamari-sauce-organic-250ml-on-sale-bb-24-11-24/,/spiral-tamari-sauce-organic-250ml/,,
www.buyorganicsonline.com.au,/lotus-lecithin-granules-450g-on-sale-bb-09-12-24/,/lotus-lecithin-granules-450g/,,
